MB1000101ASHBROOK          011E007425000000000015984300058266
MB1000102BELLWEATHER       011E007425000000000038295300035955
MB1000103CALVERSON         011E007425000000000048285300025965
MB1000104DRAYMOND          011D000000000000000000000000000000
MB1000105ESTERBROOK        011P007425000128750041092150023017R
MB1000106FENWORTH          011E007425000257500025974300074026
MB1000107GRISWALD          024D000000000000000000000000000000
MB1000108HOLLENBECK        024R000000000000000000000000000000
MB1000109IVERSHAM          024E007425000000000018482300055768
MB1000110JARNIGAN          024R000000000000000000000000000000
MB1000111KETTERLING        024D000000000000000000000000000000
MB1000112LUNDQUEST         024R000000000000000000000000000000
MB1000113MARLBOROUGH       037E007425000000000020480300053770
MB1000114NORTHRIDGE        099D000000000000000000000000000000
         OSTRANDER         037D000000000000000000000000000000
MB1000116PELLINGTON        037M007425000000000039294010000000
MB1000117QUARRINGTON       037P007425000000000009990290062118
MB1000118RAVENSCROFT       037D000000000000000000000000000000
MB1000119SEDGEWICK         037D000000000000000000000000000000
MB1000120THORNBURY         052R000000000000000000000000000000
MB1000121UNDERHILL         052E007425000128750056444300030681
MB1000122VANDERMOLEN       052E007425000128750056610300030515
MB1000123WETHERALL         052E007425000128750056610300030515
MB1000124YARDLEIGH         052E007425000000000000000300074250
MB1000125ZABRISKIE         052E007425000000000000000300074250
MB1000126ABERNATHY-COLE    068E007425000386250018165300094710
MB1000127BRIGHTWATER       068P007425000257500038961160032554
MB1000128CROSSFIELD        068P007425000128750019980020004476
MB1000129DELACOURT         068P007425000515000040959080022611R
MB1000130EMBERLY           068P007425000128750010498240061302R
MB1000131FALLOWFIELD       073E007425000643750059940300078685
MB1000132GRANTHAM-ODELL    073E007425000257500044456300055544
MB1000133HAVERSHAM         073P007425000000000006660030006759
MB1000134INGLEBRIGHT       073P007425000128750045479200027764
MB1000135JESSUP-WAINE      073R000000000000000000000000000000
MB1000136KILBRIDE          073P007425000000000034948100013101R
