MB1000101ASHBROOK          011EA0010000004800030058
MB1000102BELLWEATHER       011EA0030000011500030034
MB1000103CALVERSON         011EA0040000014500030022
MB1000104DRAYMOND          011DI0500000014500100000
MB1000105ESTERBROOK        011PP0320100012340015051
MB1000106FENWORTH          011EA0010200007800030068
MB1000107GRISWALD          024DR0200000002400000000
MB1000108HOLLENBECK        024RR0900000006400000000
MB1000109IVERSHAM          024EA0010000005550030078
MB1000110JARNIGAN          024RR0900100003450000000
MB1000111KETTERLING        024DC1100000000000000000
MB1000112LUNDQUEST         024RC1400100000000000000
MB1000113MARLBOROUGH       037EA0010000006150030064
MB1000114NORTHRIDGE        099DE0900000000000000000
         OSTRANDER         037DE0100000000000000000
MB1000116PELLINGTON        037PP0330000011800001034
MB1000117QUARRINGTON       037PP0310000003000029058
MB1000118RAVENSCROFT       037DI0501200086350000000
MB1000119SEDGEWICK         037DE0701300000000000000
MB1000120THORNBURY         052RR0921200032800030106
MB1000121UNDERHILL         052EA0040100016950030027
MB1000122VANDERMOLEN       052EA0040100017000030027
MB1000123WETHERALL         052EA0040100017000130027
MB1000124YARDLEIGH         052EA0010000000000030078
MB1000125ZABRISKIE         052EA0010000000000030058
MB1000126ABERNATHY-COLE    068EA0010300005455030073
MB1000127BRIGHTWATER       068PP0320200011700016056
MB1000128CROSSFIELD        068PP0310100006000002063
MB1000129DELACOURT         068PP0310400012300008078
MB1000130EMBERLY           068PP0310100003152524063
MB1000131FALLOWFIELD       073EA0020500018000030071
MB1000132GRANTHAM-ODELL    073EA0020200013350030076
MB1000133HAVERSHAM         073PP0310000001999903058
MB1000134INGLEBRIGHT       073PP0330100013657520039
MB1000135JESSUP-WAINE      073RR0910600004700030088
MB1000136KILBRIDE          073PP0320000010495010046
