MB1000101ASHBROOK          L0111998060100004800000048NN01AC                     
MB1000102BELLWEATHER       T0111998060300011500000036NY01AC                     
MB1000103CALVERSON         R0111998060400014500000120NN01AC                     
MB1000104DRAYMOND          P0111998060500014500100060NN01AC                     
MB1000105ESTERBROOK        A0111998060600012940001024NN16AC                     
MB1000106FENWORTH          K0111998060700009000002018NN01AC                     
MB1000107GRISWALD          M0241998060800002400000005NN01AC                     
MB1000108HOLLENBECK        D0241998060900006400000005NY01AC                     
MB1000109IVERSHAM          C0241998061000007000000003YN01AC                     
MB1000110JARNIGAN          S0241998061100005500001002YY01AC                     
MB1000111KETTERLING        B0241998061200008100000084NN01CL                     
MB1000112LUNDQUEST         E0241998061300007600001090NN01SU                     
MB1000113MARLBOROUGH       F0371998061400006150000015NN01PN                     
MB1000114NORTHRIDGE        G0991998061500005000000030NN01AC                     
         OSTRANDER         H0371998061600005000000030NN01AC                     
MB1000116PELLINGTON        J0371998061700011800000072NN30AC                     
MB1000117QUARRINGTON       N0371998061800003000000066NN02AC                     
MB1000118RAVENSCROFT       W0371998061900095000012108YN01AC                     
MB1000119SEDGEWICK         O0371998062000010000013012NN01AC                     
MB1000120THORNBURY         V0521998062100040000012096NN01AC                     
MB1000121UNDERHILL         Y0521998062200017550001030NN01AC                     
MB1000122VANDERMOLEN       Z0521998062300017600001042NN01AC                     
MB1000123WETHERALL         Q0521998062400017600101042NN01AC                     
MB1000124YARDLEIGH         I0521998062500001450000006YN01AC                     
MB1000125ZABRISKIE         U0521998062600000000000006NN01AC                     
MB1000126ABERNATHY-COLE    X0681998062700007255003033NN01AC                     
MB1000127BRIGHTWATER       L0681998062800012900002027NY15AC                     
MB1000128CROSSFIELD        T0681998062900006600001021NN29AC                     
MB1000129DELACOURT         R0681998063000014700004054NN23AC                     
MB1000130EMBERLY           P0681998070100003752501009NN07AC                     
MB1000131FALLOWFIELD       A0731998070200021000005045NN01AC                     
MB1000132GRANTHAM-ODELL    K0731998070300016000002063YN01AC                     
MB1000133HAVERSHAM         M0731998070400001999900078NN28AC                     
MB1000134INGLEBRIGHT       D0731998070500014257501011NN11AC                     
MB1000135JESSUP-WAINE      C0731998070600008300006087NN01AC                     
MB1000136KILBRIDE          S0731998070700010495000099NN21AC                     
